Movie,IMDB,budget,box office,actor,actress,director,imdb,animal,army,art,baseball,bear,beer,blue,boss,brother,buffalo,camera,castle,cave,cell,cigarette,city,cliff,college,colony,company,computer,desert,dorm,dragon,driver,duke,evil,family,father,fire,fish,friend,galaxy,gun,helicopter,horse,hotel,human,hunter,husband,iron,judge,jungle,keyword,kid,knife,laboratory,lie,love,magic,manager,mask,meeting,missal,money,monster,mother,mountain,music,news,ninja,office,paint,party,plane,planet,president,prince,princess,queen,raven,rain,resistance,restaurant,river,robot,science,sea,ship,sister,slave,snow,soldier,study,train,village,water,white,wife
"""42""",7.5,40000000,95001343,Chadwick Boseman,Nicole Beharie,Brian Helgeland,C,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N
12 Years A Slave,8.1,20000000,56667870,Chiwetel Ejiofor,,Steve McQueen,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y
127 Hours,7.6,18000000,18329466,James Franco,Amber Tamblyn,Danny Boyle,B,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N
AMERICAN HUSTLE,7.3,40000000,150117807,Christian Bale,Amy Adams,David O. Russell,D,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y
Amityville Asylum,2.6,20000,,Lee Bane,Sarah Louise Madison,Andrew Jones,I,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N
Amour,7.9,8900000,225377,Jean-Louis Trintignant,Emmanuelle Riva,Michael Haneke ,A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
Arbitrage,6.6,12000000,7918283,Richard Gere,Susan Sarandon,Nicholas Jarecki,G,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
ARGO,7.8,44500000,136019448,Ben Affleck,,Ben Affleck,B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N
August Osage County,7.3,25000000,37738400,Dermot Mulroney,Meryl Streep,John Wells,D,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
Authors Anonymous,4.3,,dvd,Jonathan Banks,Kaley Cuoco,Ellie Kanner,I,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
