"movie","IMDBpred","IMDBold","MAPE"
"Minions",6.875,6.5,6.09650936200285
"Rise of the Planet of the Apes",7.35833333333333,7.6,6.09650936200285
"I Am Number Four",6.875,6.1,6.09650936200285
"August Osage County",7.35833333333333,7.3,6.09650936200285
"Room",7.27272727272727,8.3,6.09650936200285
"12 Years A Slave",7.75294117647059,8.1,6.09650936200285
"Son of Saul",7.75294117647059,7.9,6.09650936200285
"Machine Gun Preacher",6.62222222222222,6.8,6.09650936200285
"Take Shelter",7.75294117647059,7.4,6.09650936200285
"Rush",7.35833333333333,8.2,6.09650936200285
"boyhood",7.325,8,6.09650936200285
