"movie","IMDBpred","IMDBold","MAPE"
"Machine Gun Preacher",6.5125,6.8,6.35063386306607
"Remember",7.95555555555555,7.3,6.35063386306607
"moneyball",7.26875,7.6,6.35063386306607
"Gravity",7.60833333333333,7.9,6.35063386306607
"I Smile Back",7.54166666666667,6.1,6.35063386306607
"127 Hours",7.60833333333333,7.6,6.35063386306607
"Zero Dark Thirty",7.54166666666667,7.4,6.35063386306607
"The Lady in the Van",6.91052631578947,6.9,6.35063386306607
"DespicableMe2",6.5125,7.5,6.35063386306607
"THE SESSIONS",6.91052631578947,7.2,6.35063386306607
"SocialNetwork",7.26875,7.7,6.35063386306607
